NAME;TITLE;AUTHOR;MANUFACTURER;PART_MASS;PART_COST;PART_CRASHTOLERANCE;PART_MAXTEMP;MISSILE_THRUST;MISSILE_BOOSTTIME;MISSILE_CRUISETHRUST;MISSILE_CRUISETIME;MISSILE_MAXTURNRATEDPS;MISSILE_BLASTPOWER;MISSILE_BLASTHEAT;MISSILE_BLASTRADIUS;MISSILE_GUIDANCEACTIVE;MISSILE_HOMINGTYPE;MISSILE_TARGETINGTYPE;MISSILE_MINLAUNCHSPEED;MISSILE_MINSTATICLAUNCHRANGE;MISSILE_MAXSTATICLAUNCHRANGE;MISSILE_OPTIMUMAIRSPEED;CRUISE_TERMINALMANEUVERING; CRUISE_TERMINALGUIDANCETYPE; CRUISE_TERMINALGUIDANCEDISTANCE;RADAR_ACTIVERADARRANGE;RADAR_RADARLOAL;TRACK_MAXOFFBORESIGHT;TRACK_LOCKEDSENSORFOV;HEAT_HEATTHRESHOLD;LASER_BEAMCORRECTIONFACTOR; LASER_BEAMCORRECTIONDAMPING
Kh-66;Kh-66;Toonu;Bahamuto Dynamics;0.3;2400;5;3600;40;0;74;20;2;25;-1;150;True;beamriding;laser;0;100;10000;700;False;heat;0;0;False;30;10;100;0;0
Krug;9M8Krug;Toonu;Bahamuto Dynamics;2.45;4000;5;3600;400;10;300;120;12;25;-1;150;True;aam;radar;0;8000;55000;1372;False;heat;0;0;False;50;10;100;0;0
KS-1;KS-1 Komet;Toonu;MKB Raduga;3;2400;5;3600;70;5;40;290;25;25;-1;150;True;cruise;radar;125;700;90000;309;False;radar;20000;20000;False;100;6;5;0;0
KSR-2;KSR-2;Toonu;MKB Raduga;4.1;2400;5;3600;11.7;20;6.8;420;7;25;-1;150;True;cruise;gps;0;25000;200000;347;False;heat;0;38000;False;360;7;100;0;0
Kub;3M9 Kub;Toonu;Kalinin Machine-Building Plant;0.6;4000;5;3600;200;10;150;60;12;25;-1;150;True;aam;radar;0;6000;24000;960.4;False;heat;0;0;False;60;15;100;0;0
MIM-3;MIM-3;Toonu;Bell Labs;1.12;4000;5;3600;414;1.8;60;80;8;25;-1;150;True;aam;radar;0;5000;48000;771.5;False;heat;0;0;True;360;10;100;0;0
MIM-72;MIM-72;Toonu;Bahamuto Dynamics;0.085;1200;5;3600;10;2;4;8;1;25;-1;150;True;aam;heat;0;200;4000;894;False;heat;0;0;False;30;3;320;0;0
R-23R;R-23R;Toonu;Bahamuto Dynamics;0.22;2400;5;3600;50;5;12;35;33;25;-1;150;True;aam;radar;0;200;35000;1000;False;heat;0;0;False;35;4;320;0;0
R-3R;R-3R;Toonu;Bahamuto Dynamics;0.09;2400;5;3600;25;3;10;8;15;25;-1;150;True;aam;radar;0;200;8000;857;False;heat;0;0;False;20;4;320;0;0
R-40R;R-40R (AA-6) “Arcid”;Toonu;Bahamuto Dynamics;0.45;2400;5;3600;40;4.5;15;240;7.5;25;-1;150;True;aam;radar;0;4000;50000;575;False;heat;0;0;False;20;2;320;0;0
R-40T;R-40T (AA-6) “Arcid”;Toonu;Bahamuto Dynamics;0.45;2400;5;3600;40;4.5;15;240;7.5;25;-1;150;True;aam;heat;0;1000;25000;575;False;heat;0;0;False;40;10;10;0;0
R-98MR;R-98MR (AA-3) “Anab-MR”;Toonu;Bahamuto Dynamics;0.29;2400;5;3600;22;4.5;12;40;10;25;-1;150;True;aam;radar;0;200;23000;686;False;heat;0;0;False;20;4;320;0;0
R-98MT;R-98MT (AA-3) “Anab-MT”;Toonu;Bahamuto Dynamics;0.25;2400;5;3600;22;4.5;12;40;10;25;-1;150;True;aam;heat;0;1000;13000;686;False;heat;0;0;False;50;10;50;0;0
R-98R;R-8R (AA-3) “Anab-R”;Toonu;Bahamuto Dynamics;0.29;2400;5;3600;22;4.5;12;40;10;25;-1;150;True;aam;radar;0;200;19000;575;False;heat;0;0;False;20;4;320;0;0
R-98T;R-8T (AA-3) “Anab-T”;Toonu;Bahamuto Dynamics;0.29;2400;5;3600;22;4.5;12;40;10;25;-1;150;True;aam;heat;0;200;10000;575;False;heat;0;0;False;50;6;50;0;0
5V21S200;5V21 S-200 "Dubna";Toonu;KB-1 Design Bureau;7.1;4000;5;3600;500;20;250;500;20;25;-1;150;True;aam;radar;0;2000;300000;1372;False;heat;0;0;False;180;25;100;0;0
S-25;S-25 Berkut;Toonu;OKB Lavochkin;1.2;4000;5;3600;120;6;65;120;10;25;-1;150;True;aam;radar;0;2000;30000;857.5;False;heat;0;0;False;60;15;100;0;0
SS11;SS.11;Toonu;Bahamuto Dynamics;0.03;4000;5;3600;0;0;1.5;7;32;25;-1;150;True;beamriding;laser;0;500;3000;250;False;heat;0;0;False;45;5;320;0;0
strela2;9K32 "Strela-2";Toonu;KB Mashinostroyeniya;0.098;2400;5;3600;10;1;1;16;20;25;-1;150;True;aam;heat;0;200;3700;430;False;heat;0;0;False;40;10;5;0;0
AUM-N-2;AUM-N-2;Toonu;Fairchild;1.7;4000;5;3600;10;10;10;30;15;25;-1;150;True;agm;radar;0;2000;38000;168;False;radar;10000;10000;False;180;7;100;0;0
CIM-10;CIM-10 "Bomarc";Toonu;Boeing;7;4000;5;3600;300;15;51;500;15;25;-1;150;True;aam;radar;0;2000;320000;891;False;heat;0;0;False;180;15;100;0;0
MIM-23;MIM-23 Hawk;Toonu;Bahamuto Dynamics;1.12;4000;5;3600;300;20;106;500;15;25;-1;150;True;aam;radar;0;2000;320000;891;False;heat;0;0;False;180;15;100;0;0
RIM-2;RIM-2 "Terrier";Toonu;Convair;1.4;4000;5;3600;150;20;100;500;15;25;-1;150;True;aam;radar;0;2000;32000;1029;False;heat;0;0;False;90;10;100;0;0
RIM-8A;RIM-8A Talos;Toonu;Bahamuto Dynamics;1.4;4000;5;3600;150;20;100;500;15;25;-1;150;True;aam;radar;0;2000;32000;1029;False;heat;0;0;False;90;10;100;0;0
BristolBloodhound;BristolBloodhound MKII;Spanner;SM Armory Missiles;1.25;750;5;4600;180;6;90;180;25;25;-1;150;True;aam;radar;0;1000;40000;900;False;;0;40000;True;180;7;150;0;0
bristolmk1;BristolBloodhound Mk. 1;Spanner;SM Armory Missiles;1.25;750;5;4600;15;6;75;240;19;25;-1;150;True;aam;radar;0;1000;35000;754.6;False;;0;35000;True;180;7;150;0;0
